movie_id,title,categoreries,
89,Engaging Students With Learning Differences Early On,"Assistive technology, Early Childhood",
90,K-12 Using Assistive Technology for Math and Science,"Assistive technology, Education",
91,Tips for Kids with Learning Difficulties,"Assistive technology, Early Childhood, Education",
92,K-12 AT Tools for Writing,"Assistive technology, Early Childhood, Education",
93,How tech can help your student with learning disabilities,"Assistive technology, Early Childhood, Education",
94,Introduction to Assistive Technology for Young Learners,"Assistive technology, Early Childhood",
95,Augmentative Alternative Communication Bill of Rights,"Assistive technology, Adults with developmental disabilities",
96,Choosing the Right AAC,"Assistive technology, Adults with developmental disabilities",
97,Developing the School Transition Plan and IEP Requirements,"Transition, Education, IEP",
98,Adult Transition Programs 18 to 21 Year Olds Special Education,"Transition, Education",
99,Transition to Adulthood Series (part 1): Overview,"Transition, Services, Education",
100,Transition to Adulthood Series (part 2) _ Transition Services,"Transition, Services, Education",
101,Transition to Adulthood Series (part 3) _ When do services begin?,"Transition, Services, Education",
102,Transition to Adulthood Series (part 4) _ When do services end?,"Transition, Services, Education",
103,Transition to Adulthood Series (part 5): What to say at the meeting,"Transition, Services, Education",
104,Transition to Adulthood Series (part 6) _ Transition Assessments,"Transition, Services, Education",
105,Transition to Adulthood Series (part 7) _ Assessments lead to Goals,"Transition, Services, Education",
106,Transition to Adulthood Series (part 8): Age of Majority,"Transition, Services, Education",
107,Transition to Adulthood Series (part 9) _ Summary of Performance,"Transition, Services, Education",
108,Transition to Adulthood Series (part 10): Goals lead to Services,"Transition, Services, Education",
109,Other Transition Concerns,Transition,
110,Understanding and Accessing Adult Services,"Transition, Services, Adults with developmental disabilities",
111,Changing Roles and Responsibilities,Transition,
112,Transition Introduction,Transition,
